domain	subdomain	ko_KR	en_XX
의학	내과학	검사 간 급내 상관계수는 이차원 변량모델로 분석하였다.	The inter-test intraclass correlation coefficient was analyzed using a variable two-dimensional model.
medical	의료/보건	그러나 70%가 넘어가면 소독 효과는 더 좋지만 피부에 자극이 심하고 더 건조해질 수 있다.	However, if it exceeds 70%, the disinfecting effect is better, but it can irritate the skin and make it drier.
법률	판례	민사소송법 제420조 본문에 따라 이를 그대로 인용한다.	It is cited as it is in accordance with the text of Article 420 of the Civil Procedure Act.
뉴스	정치,외교	‘안보를 걱정하는 예비역 장성 일동'은 21일 오후 서울 용산 전쟁기념관에서 토론회를 열어 9·19 군사합의로 우리 안보가 더욱 위태로워졌다고 비난했다.	On the afternoon of the 21st, the Generals of the Reserve Forces Concerned with National Security held a debate at the War Memorial of Korea in Yongsan, Seoul, and criticized that the Pyongyang Joint Declaration of September 2018 put national security at additional risk.
해외영업	부동산	외국인의 경우 대출을 받는 것이 거의 불가능합니다.	For foreign nationals, getting a mortgage loan is almost impossible.
sports	스포츠	디 애슬레틱 역시 25일 '토론토가 여전히 보스턴과 데이비드 프라이스 트레이드를 논의할 수 있다'면서 '야수진 또한 에드윈 엔카나시온이나 에릭 테임즈와 FA 계약을 체결할 가능성이 있다'고 전망했다.	The Athletic also predicted on the 25th that Toronto could still discuss David Price's trade with Boston, and that it may also sign an FA contract with Edwin Encarnacion or Eric Thames for the fielders.
법률	법률연구	제도가 이미 결정해놓은 어떤 틀을 따르느냐 마느냐라는 수동적 태도를 넘어 주체가 내용과 방향을 설정하고 이를 달성하기 위한 전략적 실천 경로를 독창적으로 형성하는 적극적 태도를 민주주의의 성격으로 확인하는 것이다.	It goes beyond the passive attitude of whether or not to follow a framework already determined by the system, and the active attitude in which the subject sets the content and direction and creatively forms a strategic practice path to achieve it is confirmed as the character of democracy.
뉴스	정치,국회_정당	안 전 대표는 출마설과 관련해 이미 “소설을 쓴 사람에게 문학상을 드려야 할 것 같다”며 출마 의사가 없음을 분명히 했다.	"Former representative Ahn has already made clear that he/she has no intention of running, saying, ""I think we should give a literary award to a person who wrote a novel""."
위해식품정보	농산물	다른 3개의 분리주에서 얻은 데이터는 면역 저하된 마우스를 쓴 생체내 검사가 다른 2가지 방법으로 얻은 모호한 결과를 분리한 분리주를 구별할 수 있음을 시사한다.	The data obtained with the other three isolates suggest that the in vivo test using immunocompromised mice can differentiate isolates for which ambiguous results are obtained by the other two methods.
연구평가정보	농산물	펩티드 분해 반응은 60분 동안 28°C에서 410nm에서 광 흡광도의 증가를 기록함으로써 즉시 모니터링되었다.	The peptidolytic reaction was immediately monitored by recording the increase of optical absorbance at 410 nm at 28°C for 60 min.
ICT	컴퓨터	즉, 실제 공격이 일어나기 전에 시스템의 취약점을 사전에 파악하고 이를 예방하는 것이 매우 중요하다.	In other words, it is very important to identify system vulnerabilities in advance and prevent them before an actual attack occurs.
관광	관광학	결과는 심리적 계약 위반은 이직의도에 직접적인 영향을 미치는 요인이며, 직무만족과 같은 매개 변수의 간섭 효과가 적다는 것으로 해석된다.	The result is that psychological contract breach is a factor that directly affects turnover intention, where the interference effect of parameters such as job satisfaction is small.
한국문화	한국국제문화교류진흥원	‘두바이 국제 영화제’는 2004년에 처음 개최된 이래로 중동을 대표하는 영화제 중 하나로 자리매김 하고 있으며, 아랍의 영화 제작자들을 위한 영향력 있는 플랫폼이 되고 있다.	"""The Dubai International Film Festival"" has been one of the representative film festivals of the Middle East since it was first held in 2004, and has become an influential platform for Arab filmmakers."
글로벌동향정보	농산물	이러한 플라스미드의 제한된 숙주 범위는 tmexCD1-toprJ1이 엔터로박테랄레스의 다른 속에서 거의 발견되지 않았다는 사실과 일치한다.	The limited host range of these plasmids is consistent with the fact that tmexCD1-toprJ1 was rarely found in other genera of Enterobacterales.
연구평가정보	축수산물	"결론에서 저자는 ""체다 치즈가 고열의 매개체로 판명되지 않았으며 보고된 장티푸스 전염병이 63일 이상 치료된 치즈에 기인하지 않았다""고 말한다."	"In their conclusion the authors state that ""Cheddar cheese has not been proved to be a carrier for undulant fever and that reported typhoid fever epidemics have not been attributed to cheese cured for more than 63 days""."
경제	경제일반	케인스의 이론적 혁명에 대해 고전파 경제학자들의 가장 큰 반발은 투자와 저축의 분리, 그리고 이자율 결정에 대한 논의에 주어졌다.	The greatest resistance of classical economists to Keynes's theoretical revolution was given to the separation of investment and saving, and the discussion of interest rate determination.
travel	관광	기단 한 변의 길이는 약 5.4∼5.7m, 적심의 지름은 약 1.8∼2.2m 정도다.	One side of the stylobate is about 5.4 to 5.7 meters long and the diameter of the red core is about 1.8 to 2.2 meters.
연구평가정보	건강식품류	"예를 들어, HF 또는 심지어 ""고단백, 저탄수화물"" 식단은 다양한 기전을 통해 다양한 형태의 암, 심혈관 질환, 면역 조절 장애 및 당뇨병에 인과적 역할을 하는 것으로 종종 제안한다."	"For instance, HF or even ""high-protein, low-carbohydrate"" diets are often suggested to play a causal role in various forms of cancer, cardiovascular disease, immunological dysregulation, and diabetes, through a variety of mechanisms."
그 외 기타 의료용 기기 제조업	제목	이온토포레시스 디바이스	IONTOPHORESIS DEVICE
뉴스	정치,행정_자치	이종철 바른미래당 대변인은 “개각 후보자들이 전문성을 갖추고 있는지, 국민 눈높이에 맞는 도덕성과 청렴성을 겸비하고 있는지 송곳 검증하겠다”고 했다.	"Lee Jong-chul, spokesman for the Bareunmirae Party, said, ""We will verify that candidates for the Cabinet reshuffle have expertise and that they have the right morality and integrity to suit the people's eyes."""
세계	국제기구	교황에 이어 버락 오바마 미국 대통령, 미국을 국빈 방문하는 시진핑(습근평) 중국 국가주석, 10년 만에 유엔에 오는 블라디미르 푸틴 러시아 대통령도 총회 고위급 회의가 시작되는 28일 나란히 연단에 오른다.	Following the Pope, US President Barack Obama, Chinese President Xi Jinping (Xi Jinping) making a state visit to the US, and Russian President Vladimir Putin, who is coming to the United Nations for the first time in 10 years, will also step up on the podium on the 28th, when the high-level meeting of the General Assembly begins.
의학	내과학	연골 붕괴 없이 내강 쪽으로 후막 기관이 과도하게 붕괴되는 것이 특징이다.	It is characterized by an excessive collapse of the posterior membranous trachea towards the lumen without cartilage collapse.
법률	판례	이는 자신의 의지대로 행동할 수 있는 선택의 가능성이 주어지고 선택의 자유가 보장되어야 한다는 것이다.	This means that the possibility of choice to behave according to one's will is to be given and freedom of choice must be guaranteed.
일상생활	예약	목사님이 추도사를 해주십니다.	The pastor will give a eulogy.
sports	스포츠	"B구단 관계자는 ""지정좌석제 경기장은 티켓 예매 과정에서도 아예 일정 좌석을 폐쇄하는 형태로 진행할 수 있는데 미지정좌석을 운영하는 경기장은 어려움이 따른다""고 말했다."	"An official from the B club said, ""The designated seating system can be carried out in the form of closing a certain number of seats even during the ticket reservation process, but the stadium that operates undesignated seats has difficulties."""
경제	경제일반	이와 같은 변화에는 가격의 상승으로 인한 수요 축소가 계층마다 조금씩 다르다는 점과 세금 상승에 대한 부담이 복합적으로 작용한다.	These changes combine the fact that the reduction in demand due to rising prices varies slightly from layer to layer and the burden of higher taxes.
기타 조명장치 제조업	초록	연직 방향보다 연직 방향에 대해서 경사진 방향을 밝게 조명할 수 있는 태양광 채광 시스템을 제공한다. 태양광 채광 시스템 1은 태양광을 가져와 소정의 공간, 예를 들면 방 92에 유도하는 것이다. 태양광 채광 시스템 1은 가져온 태양광의 방 92로의 출사 방향을 반사에 의해 조정하는 광로 조정 수단 30을 구비한다. 광로 조정 수단 30은 당해 태양광 채광 시스템 1에서 방 92로의 출사광이 연직 방향에 대해서 경사진 방향으로 광도의 피크를 가지도록, 받아들여진 태양광을 반사해 유도한다.	To provide a sunlight daylighting system which can illuminate a direction inclined to the vertical direction more brightly than the vertical direction. A sunlight daylighting system 1 is configured to introduce and guide sunlight to a predetermined space, such as a room 92. The sunlight daylighting system 1 includes light path adjust means 30 which adjusts the outgoing direction of introduced sunlight into the room 92 by means of reflection. The light path adjust means 30 reflects and guides introduced sunlight so that outgoing light from the sunlight daylighting system 1 to the room 92 has the peak of light intensity in a direction inclined to the vertical direction.
뉴스	국제,미국_북미	이들은 자동조종장치를 켠 직후 비행기 머리가 아래로 향하면서 고도가 300∼400m 급강하했고, 자동조종장치를 끄고서야 고도를 회복할 수 있었다고 밝혔다.	Shortly after turning on the autopilot, they said that the plane had descended to an altitude of 300 to 400 meters with the head down, and that the altitude could only be restored by turning off the autopilot.
medical	의료/보건	빛고을 전남대병원은 의사 12명과 간호사 51명, 병실은 35개를 확보하고 있다.	Bitgoeul Chonnam National University Hospital has procured 12 doctors, 51 nurses, and 35 hospital rooms.
글로벌동향정보	건강식품류	반응 혼합물은 0.05M 인산칼륨 완충액에 0.22M 요소 0.9ml를 함유하고, 이나트륨 EDTA로 1mM을 만들었다.	The reaction mixture contained 0.9 ml of 0.22 M urea in 0.05 M potassium phosphate buffer, made 1 mM with disodium EDTA.
글로벌동향정보	축수산물	큰부리새속은 고래 낙하 샘플에서만 발견되는 반면 모디올룰라 페이돌리나의 존재비는 다른 설정과 관련하여 통계적으로 유의하다.	Megaxinus incrassatus is found exclusively in whale-fall samples, whereas Modiolula phaseolina abundance is statistically significant there with respect to the other settings.
전기	배터리	즉, 제1게이트스택(31)의 유효일함수는 제1금속함유게이트전극(25P)에 의해 지배적으로 조정된다.	That is, the effective work function of the first gate stack 31 is adjusted by the first metal-containing gate electrode 25P.
일상생활	구매	네, 지금은 이 두 개만 있어요.	Yes, I only have these two right now.
구어체	구어체	리노아의 천사의 날개만을 사용하여 오메가 무기를 격파합니다.	Defeat omega weapon using angel wing of Rinoa.
연구평가정보	식품일반	젤을 은으로 염색하거나 추출된 LPS와 LOS 추출물을 니트로셀룰로오스로 옮겼다.	Gels were silver stained, or the separated LPS and LOS extracts were transferred to nitrocellulose.
의학	내과학	비만은 간세포암종에서 암 발병 및 전체 사망률에 대한 중요한 위험 요소이다.	Obesity is an important risk factor for cancer development and overall mortality in HCC.
해외고객과의채팅	도소매유통	참깨를 많이 볶을수록 향이 진하고 짙은 갈색을 띤 참기름이 만들어집니다.	The more sesame seeds are fried, the darker the scent and darker brown sesame oil is.
law	대법원판례	공동소송참가인의 이 사건 참가의 소와 원고의 이 사건 소 중 1996. 4. 29.자 보류처분에 대한 취소청구 부분을 각 각하한다.	Of the lawsuits of the joint lawsuit participants in this case and the Plaintiffs in this case, the request for cancellation of the pending disposition on April 29, 1996 is dismissed.
교육	초중고등교육	용지의 각각 사이즈는 모두 같은 비율이기 때문에 종이 위의 정보도 똑같은 비율로 나타날 것이다.	Since each size of the paper is all the same ratio, the information on the paper will also appear in the same ratio.
해외고객과의채팅	도소매유통	천연가스의 도매 총액은 얼마인가요?	How much is my total wholesale cost for the natural gas?
세계	국제기구	황열병 환자와 사망자는 남동부 미나스 제라이스 주에 집중됐으나 최근에는 상파울루 주와 리우 주에서도 보고되고 있다.	Yellow fever cases and deaths have been concentrated in the southeastern state of Minas Gerais, but more recently, São Paulo and Rio have also been reported.
글로벌동향정보	식품일반	살모넬라에서 발견되는 두 번째 유형의 MCP는 Eut MCP로, 유일한 탄소 및 질소 공급원으로서 에탄올아민의 분해에 사용된다.	The second type of MCPs found in Salmonella are Eut MCPs, which are used for the degradation of ethanolamine as a sole carbon and nitrogen source.
위해식품정보	가공식품	그러나 이 접근법은 겐타마이신이 CPE 감염 치료에 일반적으로 사용되며 과도하게 사용하면 이 약물에 내성이 있는 CPE도 선택될 수 있으므로 신중하게 채택해야 한다.	This approach should be adopted cautiously, however, as gentamicin is commonly used for the treatment of CPE infections, and its excessive use may select CPE that are resistant to this drug as well.
방사선 장치 제조업	초록	방사능 노출을 감소시킬 수 있는 X선 진단 장치를 제공하는 것. 실시 예의 X선 진단 장치에 있어서는 이미지 생성부는 X선관에서 조사되어 피검체를 투과한 X선에 기초하여 X선 영상을 순차적으로 생성한다. 검출부는 순차적으로 생성된 X선 영상에 포함되는 소정의 대상물 위치를 검출한다. 보정 이미지 생성부는 소정의 X선 영상인 기준 화상에 있어서 검출된 소정의 대상물 위치를 기준 위치로 하고, 새로 생성된 X선 영상에 있어서 검출된 소정의 대상물 위치를 기준 위치와 일치시키는 보정 처리를 새로 생성된 X선 영상에 실시한 보정 화상을 순차적으로 생성한다. 조사 제어부는 검출되는 소정의 대상물 위치에 기초하여 X선 영상에 있어서 소정의 대상물이 묘출될 수 있는 영역을 특정하고 특정한 영역과는 다른 영역에 대응하는 위치로의 X선의 조사선량을 감소시키도록 제어한다. 표시 제어부는 보정 이미지 생성부가 순차적으로 생성하는 보정 화상을 표시부에 동영상 표시시킨다.	To provide an X-ray diagnostic apparatus capable of reducing exposure. In an X-ray diagnostic apparatus of one embodiment, an image generation part sequentially generates X-ray images based on an X-ray that is irradiated from an X-ray tube and transmits a subject. A detection part detects the position of a predetermined object included in the sequentially generated X-ray images. A correction image generation part sequentially generates correction images in which newly generated X-ray images are subjected to correction processing for causing the position of a predetermined object detected in the newly generated X-ray images to coincide with a reference position, the reference position being the position of the predetermined object detected in a reference image, which is a predetermined X-ray image. An irradiation control part executes control to identify a region where the predetermined object can be drawn in the X-ray images based on the position of the detected predetermined object, and reduce the exposure of the X-ray to a position corresponding to a region different from the identified region. A display control part causes the correction images that the correction image generation part sequentially generates to be displayed in a display part by moving images.
의학	내과학	초음파를 인체 내부로 보내면 인체 조직의 물리적 특성에 따라 서로 다른 매질의 경계 면에서 반사되거나 투과된다.	When ultrasound is sent inside the human body, it is reflected or transmitted at the interface of different media depending on the physical characteristics of the human body.
뉴스	스포츠,농구_배구	"외교부 당국자는 “감사관실에서는 지난 1월 주말레이시아대사관에 대한 자체 감사를 실시했다""며 “그 결과에 따라 관련 절차가 진행 중인 바, 공정한 심의의 진행을 위해 자세한 내용은 밝히기 어렵다""고 밝혔다."	"An official from the Ministry of Foreign Affairs said, ""he audit office conducted its own audit of the Embassy of the Republic of Korea in Malaysia in January,"" adding, ""As a result, related procedures are in progress, so it is difficult to elaborate on the details for the fair review."""
ICT	통신	예컨대, 기생 용량(Cp)이 클수록 제1 노드(N1)의 전압 변동량이 감소하게 된다.	For example, as the parasitic capacitance Cp is increased, the change amount of the voltage of the first node N1 is decreased.
위해식품정보	농산물	데이터에 따르면 롤링된 호밀밭과 비교하여 전통적으로 경작된 토지에는 정확히 2배 많은 약충이 있었다.	Data show that there were exactly twice as many nymphs on conventionally tilled plots compared with rolled rye plots.
해외영업	도소매유통	이 제품은 머리카락을 더 튼튼하게 만드는 데 도움이 됩니다.	This helps in making your hair stronger.
sports	스포츠	미국 CBS 스포츠가 KIA 타이거즈의 맷 윌리엄스 감독의 첫 승리를 보도했다.	U.S. CBS Sports reported KIA Tigers' coach Matt Williams' first victory.
법제도정보	식품일반	발효 배지는 pH 조절에 사용되는 영양소와 화합물을 제공하는 식품 등급 원료로 구성된다.	The fermentation medium consists of food-grade raw materials that provide nutrients and compounds used for pH control.
기계	동력기관	이 OAG 데이터에서 사용하는 이름과 BADA 항공기 모델에서 사용하는 이름을 매핑하여 AEIC에서 사용할 수 있도록 하였다.	The name used in this OAG data and the name used in the BADA aircraft model were mapped to be used in AEIC.
뉴스	문화,출판	우리는 대통령님과의 이별을 겪으며 서로가 서로에게, 이 고통을 딛고 반드시 일어나겠다는 묵시적인 약속을 했는지도 모르겠습니다.	We may have gone through farewells with the President and each other made an implied promise to each other that we must rise above this pain without words.
의학	병리학	AAA는 팔뚝의 MTJ에서 폐쇄형 진동 파열을 겪은 10명의 환자 중 가장 큰 시리즈를 보고했다.	AAA reported the largest series of ten patients who sustained closed avulsion ruptures at the MTJ of the forearm.
글로벌동향정보	가공식품	병원 획득 질병과 관련하여 녹농균은 화상 상처 감염에서 주요 병원내 위협으로 진화했다.	Concerning hospital-acquired diseases, Pseudomonas aeruginosa has evolved from being a burn wound infection into a major nosocomial threat.
edu_notice	가정통신문	저학년의 경우 2권 정도 읽어주시면 되고, 조부모님께서도 참여 가능하십니다.	For the lower grades, you can read about 2 books, and your grandparents can also participate.
뉴스	사회,사건_사고	특히 사망자 대부분이 비상구 반대쪽에서 뛰어내렸거나 숨진 것으로 나타나 불길과 유독가스로 인해 비상구로 접근하지 못한 것으로 추정된다.	In particular, most of the deaths jumped or died on the other side of the emergency exits, which means that the fires and toxic gases were not accessible to the emergency exits.
해외영업	숙박,음식점	그리고 자랑스럽지만 이 디저트는 항상 매진되었죠.	And I am proud to say that this is always sold-out.
문화	공연	장애예술인들의 공연을 접해본 공연 예술인들은 장애예술인들이 가진 실력과 능력에 놀라고 감탄하였다.	Performing artists who had encountered the performances of disabled artists were amazed and admiring the skills and abilities of disabled artists.
연구평가정보	식품일반	그들은 현재 와포자충 호미니스와 작은와포자충이라는 두 개의 추출된 종으로 널리 알려져 있다.	They are now widely recognized as two separate species, Cryptosporidium hominis and C.parvum.
기술과학	IT	방법은 정보를 포함하는 경고를 수신하는 단계, 및 경고를 수신한 것에 응답하여, 인지적 출력을 발생하는 단계를 포함한다.	The method includes a step of receiving an alert comprising information, and a step of generating a cognitive output in response to receiving the alert.
연구평가정보	식품일반	우유의 pH는 생산 간 쇠고기의 온도에서 48시간 이내에 6.5에서 s5.1로 감소했다.	The pH of the milk decreased from 6.5 to s5.1 within 48 h at temperatures of Production ground beef.
연구평가정보	축수산물	국제식품규격위원회는 또한 바로 먹을 수 있는 식품에서 리스테리아 모노키토게네스의 통제를 위한 식품 위생 일반 원칙의 적용에 관한 지침을 발표했다.	The Codex Alimentarius Commission has also issued Guidelines on the Application of General Principles of Food Hygiene to the Control of Listeria monocytogenes in Ready-to-Eat Foods.
해외영업	기계장비,의료정밀	맞아, 시험 중에 일어나는 일과 같지 않아.	You're right, and it's not just like what happens during exams.
경제	경제일반	보상은 성과 향상을 위한 구성원의 공헌(노력, 스킬, 경험, 성과 등)에 대해 조직 형성에 중요한 요소이다.	Compensation is an important factor in organizational formation for members' contributions to improving performance (e.g., effort, skills, experience, performance, etc.).
의학	외과학	비정형 부위에서 통풍 관절염을 동반하는 것은 대개 신부전이나 부적절한 치료로 인한 만성 통풍 관절염을 동반한다.	Gout arthritis involvement in atypical areas is usually accompanied by renal failure or chronic gouty arthritis due to inadequate treatment.
문화	공연	테세우스가 찾아 들어야 했던 미궁은 결국 이카루스를 날도록 만들었다.	The labyrinth that Theseus had to find eventually made Icarus fly.
경제	산업경제	한편, 실증분석을 위한 통계적용 기법은 일반적 인구특성분석을 위한 빈도분석, 신뢰도 분석, 확인적 요인분석,다중집단분석을 통해 설정된 연구가설을 검증하였다.	On the other hand, statistical application techniques for empirical analysis have verified the established research hypotheses through frequency analysis, reliability analysis, confirmative factor analysis, and multi-group analysis for general population characteristics analysis.
기술과학	빅데이터	상기 변경 정보는 상기 소스 데이터베이스 서버(100)와 타겟 데이터베이스 서버(200)간의 사전 설정된 세션을 통해 전송될 수 있다.	The change information may be transmitted through a preset session between the source database server 100 and the target database server 200.
위해식품정보	식품일반	진드기 끌기는 8마리의 C.펠리스 벼룩과 1마리의 뿔진드기속 님프를 회수했다.	A tick drag recovered eight C.felis fleas and one R.sanguineus nymph.
법률	형법	혈액 채취는 제81조의a 제1항이 정한 방법에 따라 강제적으로 이루어질 수 있다.	Blood collection may be compulsory in accordance with the method outlined in Article 81(a) clause 1.
기술과학	빅데이터	오브젝트의 복제본의 개수가 늘어날수록 저장 용량은 증가하지만, 클라우드 저장소(300)의 자원에 미치는 영향은 감소되므로, 오브젝트의 복제본의 개수를 적절하게 유지하는 것이 매우 중요하다.	As the number of copies of the object increases, the storage capacity increases, but the impact on the resources of the cloud storage 300 is reduced, so it is very important to properly maintain the number of copies of the object.
접착제 및 젤라틴 제조업	초록	본 발명은, 박형이면서도 충격 흡수성 및 재박리성이 우수한 양면 점착 테이프를 제공하는 것을 목적으로 한다. 본 발명은, 폴리올레핀 발포체로 이루어지는 기재의 양면에 아크릴 점착제층을 갖는 양면 점착 테이프로서, 상기 폴리올레핀 발포체로 이루어지는 기재의 두께가 50 ∼ 120 ㎛ 이고, 상기 폴리올레핀 발포체로 이루어지는 기재의 MD 방향 및 TD 방향에 있어서의 평균 기포경이 30 ㎛ 이상, 70 ㎛ 이하이고, 양면 점착 테이프의 총 두께가 80 ∼ 150 ㎛ 인 양면 점착 테이프이다.	The purpose of the present invention is to provide a double-sided adhesive tape having an excellent impact absorption property and a re-peeling property while being thin. The present invention is a double-sided adhesive tape having an acryl adhesive layer on both surfaces of a substrate comprising a polyolefin foam, wherein the thickness of said substrate comprising the polyolefin foam is 50-120 mum, wherein the average air bubble diameters of said substrate comprising the polyolefin foam in an MD direction and in a TD direction are 30 mum or more and 70 mum or less, and wherein the total thickness of the double-sided adhesive tape is 80-150 mum.
일상생활	예약	네, 예약하신 날짜와 방을 여쭤봐도 될까요?	Alright, may I ask the date and room you booked?
대화체	비즈니스	내년에는 예산이 꼭 올라가야 합니다.	The budget must be increased for next year.
법률	법률연구	이는 주민의 수요가 증가하고 지방의원의 활동도 활발해 지고 있다는 면을 보여주나 조례의 질적인 측면에서는 보완이 필요하다.	This shows that the demand of resident is increasing and the activity of local council member is also active, but in terms of the quality of the ordinance, it needs to be supplemented.
탭, 밸브 및 유사 장치 제조업	청구항	가압수와 압축 기체를 혼합시켜 분무하는 복수의 계의 2유체 노즐과,상기 복수의 계의 2유체 노즐에 공통의 수압의 상기 가압수를 공급하는 가압수 공급 수단과,상기 복수의 계의 2유체 노즐에 공통의 압력의 상기 압축 기체를 공급하는 압축 기체 공급 수단과,상기 복수의 계의 2유체 노즐의 각각 계의 분무 제어를 하는 복수의 분무 제어 수단을 구비하고,상기 복수의 분무 제어 수단의 각각은,상기 분무 제어를 하기 위한 분무 명령값에 기초하여, 상기 가압수 공급 수단으로부터 공급되는 상기 가압수의 수압을 가압하지 않고 감압하는 제어를 하는 수압 제어 수단과,상기 분무 명령값에 기초하여, 상기 압축 기체 공급 수단으로부터 공급되는 상기 압축 기체의 압력을 제어하는 기체 압력 제어 수단을 구비하는 것을 특징으로 하는 2유체 분무 장치.	A two fluid spray equipment comprising: two fluid nozzles of a plurality of systems for mixing and spraying pressurized water and a compressed gas;pressurized water supply means for supplying the pressurized water at common pressure to the two fluid nozzles of the plurality of systems;compressed gas supply means for supplying the compressed gas at common pressure to the two fluid nozzles of the plurality of systems; anda plurality of spray control means for controlling spray of the two fluid nozzle of each of the plurality of systems,wherein each of the plurality of spray control means includeswater pressure control means for performing control to reduce pressure of the pressurized water supplied from the pressurized water supply means based on a spray command value for controlling the spray without pressurization, andgas pressure control means for controlling pressure of the compressed gas supplied from the compressed gas supply means based on the spray command value.
How my mind came back to life — and no one knew	TED	제 운명을 바꾸기 시작했고 직장에서 더 목소리를 냈습니다. 주위 사람들에게는 저에게 독립이 필요하다고 고집했습니다. 의사소통의 수단이 생긴 것이 모든 걸 바꾸어 놓았습니다. 저는 말과 의지의 힘으로 주변 사람들과 제 자신이 갖고 있던 선입견에 도전했습니다.	I began to reshape my destiny. I spoke up a little more at work. I asserted my need for independence to the people around me. Being given a means of communication changed everything. I used the power of words and will to challenge the preconceptions of those around me and those I had of myself.
대화체	여행/쇼핑	선풍기 날개의 개수는 3개인 것이 선풍기 날개 5개인 것보다 마찰력이 적기 때문에 더 시원합니다.	The fan with 3 blades is cooler than the fan with 5 blades because there is less friction.
위해식품정보	축수산물	고기가 55°C에 도달하기 전의 시간 동안 세포가 비활성화되었으므로 시간에서 ta를 차감했다.	Since cells inactivated during the time before the meat reached 55°C, ta was deducted from the time.
경제	경제일반	2014년 기준 당기순이익을 분모로 하면 18% 약간 못 미치고, 과세표준을 분모로 하면 16%, 과세소득을 분모로 하면 14.2%가 된다.	As of 2014, when net income is used as the denominator, it is slightly less than 18%, as soon as the tax base is utilized as the denominator, it is 16%, and when taxable income is used as the denominator, it is 14.2%.
법률	법률연구	법학전문대학원은 입학자 중 법학 외의 분야에서 학사학위를 취득한 자가 차지하는 비율이 입학자의 3분의 1 이상이 되도록 하여야 한다.	Law graduate schools need to ensure that the proportion of those whom have obtained a bachelor's degree in a industry apart from law among admitted students is at least one-third.
